img	comment	related text	question	answer		
		In the foreground, the landscape is dominated by earth-coloured tones.	What is dominated by earth-coloured tones in the foreground?	the landscape		
		This panoramic landscape was inspired by Patenier.	What was inspired by Patenier?	this panoramic landscape		
		St Christopher is shown here crossing the water while a hermit holding a lantern stands on the opposite bank of the river.	What does a hermit holding a lantern stand on?	on the opposite bank of the river		
		However, the greens in the intermediary planes lead the viewer's gaze to the luminous bluish background with silvery highlights.	What lead the viewer's gaze to the luminous bluish background with silvery highlights?	the greens in the intermediary planes		
		However, the greens in the intermediary planes lead the viewer's gaze to the luminous bluish background with silvery highlights.	What do the greens in the intermediary planes lead highlights?	the viewer's gaze to the luminous bluish background with silvery		
		However, the greens in the intermediary planes lead the viewer's gaze to the luminous bluish background with silvery highlights.	Whose gaze to the luminous bluish background with silvery do the greens in the intermediary planes lead highlights?	the viewer's gaze to the luminous bluish background with silvery		
		However, the greens in the intermediary planes lead the viewer's gaze to the luminous bluish background with silvery highlights.	Whose gaze to the luminous bluish background with silvery do the greens in the intermediary planes lead?	the viewer's gaze to the luminous bluish background with silvery highlights		
21780-viewflor.jpg	This view of Florence is one of a number of views by Lear based upon on the spot sketches he produced in 1861					
		This view of Florence is one of a number of views by Lear based upon on the spot sketches he produced in 1861	What is one of a number of views by Lear based upon on the spot sketches he produced in 1861?	this view of Florence		
35893-olympus.jpg	This tondo is at the centre of the ceiling in the Sala dell'Iliade in the Palazzo Pitti. The painting shows an assembly of the ancient gods on Mount Olympus, presided over by Zeus. Other decorations illustrate scenes from Homer's Iliad, hence the room's name					
		The painting shows an assembly of the ancient gods on Mount Olympus, presided over by Zeus.	What shows an assembly of the ancient gods on Mount Olympus?	the painting		
		Other decorations illustrate scenes from Homer's Iliad, hence the room's name	What is the room's name?	Homer's Iliad		
		Other decorations illustrate scenes from Homer's Iliad, hence the room's name	What is Homer's Iliad?	the room's name		
		This tondo is at the center of the ceiling in the Sala dell ` Iliade in the Palazzo Pitti.	What is at the center of the ceiling in the Sala dell ` Iliade in the Palazzo Pitti?	this tondo		
		Other decorations illustrate scenes from Homer's Iliad, hence the room's name	What do other decorations illustrate?	scenes from Homer's Iliad		
		The painting shows an assembly of the ancient gods on Mount Olympus, presided over by Zeus.	What does the painting show?	an assembly of the ancient gods on Mount Olympus		
		Other decorations illustrate scenes from Homer's Iliad, hence the room's name	What illustrate scenes from Homer's Iliad?	other decorations		
44708-adormagi.jpg	This painting is on the altar of the Grimani Chapel in San Francesco della Vigna					
		This painting is on the altar of the Grimani Chapel in San Francesco della Vigna	What is on the altar of the Grimani Chapel in San Francesco della Vigna?	this painting		
43121-circumci.jpg	The composition of this painting is loosely based on Lodovico Carracci's painting of the Circumcision, formerly in the church of San Bartolomeo di Reno in Bologna (destroyed in World War II)					
		The composition of this painting is loosely based on Lodovico Carracci's painting of the Circumcision, formerly in the church of San Bartolomeo di Reno in Bologna (destroyed in World War II)	What is loosely based on Lodovico Carracci's painting of the Circumcision, formerly in the church of San Bartolomeo di Reno in Bologna?	the composition of this painting		
12539-07docto.jpg	At the same time as the Feast of the Rose Garlands, D�rer was working on the painting of Christ among the Doctors. The theme derives from the Gospel of St Luke (Luke 2, 41-52).On the bookmark at the bottom left of the panel, D�rer has recorded that this picture was `the work of five days', a pointed reference to his inscription on The Altarpiece of the Rose Garlands, the work of five months. Christ among the Doctors is not only a smaller panel, but the brushwork is much more spontaneous and the paint is applied with broad and fluid strokes. Despite D�rer's statement about five days, he based it on a number of careful studies, including one of Christ's gesticulating fingers. Although not present on the original painting, two early copies of the panel have the word `Romae' added to the inscription on the bookmark and this suggests that D�rer visited Rome late in 1506. It may also be significant that the original painting was in Rome's Galleria Barberini until its acquisition by Baron Heinrich von Thyssen-Bornemisza in 1935.The story recorded in the panel is of Christ's visit to Solomon's Temple in Jerusalem, where he debated with the learned Jewish doctors (or scribes). According to the Bible, this was the first occasion on which Christ taught. D�rer's daring composition does not use the conventional temple setting which he earlier used in the lower left panel of The Seven Sorrows of the Virgin. Instead he gives a close-up view of the faces of six doctors crowding round the young Jesus. The elderly doctors, caricatured faces which may well have been influenced by Leonardo da Vinci, argue with Christ by quoting from the Scriptures and gesticulating. Christ, a sober boy of 12, quietly gestures with his fingers to make a point. D�rer contrasts Christ's youthful hands with the gnarled fingers of the ugly old man with the white cap and a gap-toothed grin					
		At the same time as the Feast of the Rose Garlands, Drer was working on the painting of Christ among the Doctors.	Who was working on the painting of Christ among the Doctors at the same time as the Feast of the Rose Garlands?	Drer		
		Christ among the Doctors is not only a smaller panel, but the brushwork is much more spontaneous and the paint is applied with broad and fluid strokes.	What is applied with broad and fluid strokes?	the paint		
		The theme derives from the Gospel of St Luke (Luke 2,41-52).	What derives from the Gospel of St Luke?	the theme		
		Instead he gives a close-up view of the faces of six doctors crowding round the young Jesus.	What does Christ give?	a close-up view of the faces of six doctors crowding round the young Jesus		
		Although not present on the original painting, two early copies of the panel have the word ` Romae ' added to the inscription on the bookmark and this suggests that Drer visited Rome late in 1506.	What suggests that Drer visited Rome late in 1506?	this		
		Christ among the Doctors is not only a smaller panel, but the brushwork is much more spontaneous and the paint is applied with broad and fluid strokes.	What is Christ among the Doctors not only?	a smaller panel		
		The elderly doctors, caricatured faces which may well have been influenced by Leonardo da Vinci, argue with Christ by quoting from the Scriptures and gesticulating.	What are the elderly doctors?	caricatured faces which may well have been influenced by Leonardo da Vinci		
		Although not present on the original painting, two early copies of the panel have the word ` Romae ' added to the inscription on the bookmark and this suggests that Drer visited Rome late in 1506.	How many early copies of the panel have the word ` Romae ' added to the inscription on the bookmark?	two early copies of the panel		
		The elderly doctors, caricatured faces which may well have been influenced by Leonardo da Vinci, argue with Christ by quoting from the Scriptures and gesticulating.	Who argue with Christ by gesticulating?	the elderly doctors		
		Christ among the Doctors is not only a smaller panel, but the brushwork is much more spontaneous and the paint is applied with broad and fluid strokes.	Who is not only a smaller panel?	Christ among the Doctors		
		The story recorded in the panel is of Christ's visit to Solomon's Temple in Jerusalem, where he debated with the learned Jewish doctors (or scribes).	What is of Christ's visit to Solomon's Temple in Jerusalem?	the story recorded in the panel		
		Drer's daring composition does not use the conventional temple setting which he earlier used in the lower left panel of The Seven Sorrows of the Virgin.	What does Drer's daring composition not use?	the conventional temple setting which Christ earlier used in the lower left panel of The Seven Sorrows of the Virgin		
		The elderly doctors, caricatured faces which may well have been influenced by Leonardo da Vinci, argue with Christ by quoting from the Scriptures and gesticulating.	Who argue with Christ by quoting from the Scriptures?	the elderly doctors		
		At the same time as the Feast of the Rose Garlands, Drer was working on the painting of Christ among the Doctors.	What was Drer working on among the Doctors at the same time as the Feast of the Rose Garlands?	on the painting of Christ		
		Drer contrasts Christ's youthful hands with the gnarled fingers of the ugly old man with the white cap and a gap-toothed grin	Whose youthful hands with the gnarled fingers of the ugly old man with the white cap and a gap-toothed grin does Drer contrast?	Christ's youthful hands with the gnarled fingers of the ugly old man with the white cap and a gap-toothed grin		
		Despite Drer's statement about five days, he based it on a number of careful studies, including one of Christ's gesticulating fingers.	Whose statement about five days did Christ base Drer's statement about five days on a number of careful studies despite?	despite Drer's statement about five days		
		At the same time as the Feast of the Rose Garlands, Drer was working on the painting of Christ among the Doctors.	Who was Drer working on the painting of Christ among at the same time as the Feast of the Rose Garlands?	among the Doctors		
		The story recorded in the panel is of Christ's visit to Solomon's Temple in Jerusalem, where he debated with the learned Jewish doctors (or scribes).	Whose visit to Solomon's Temple in Jerusalem is the story recorded in the panel of?	of Christ's visit to Solomon's Temple in Jerusalem		
		Drer's daring composition does not use the conventional temple setting which he earlier used in the lower left panel of The Seven Sorrows of the Virgin.	Whose daring composition does not use the conventional temple setting which Christ earlier used in the lower left panel of The Seven Sorrows of the Virgin?	Drer's daring composition		
		Christ among the Doctors is not only a smaller panel, but the brushwork is much more spontaneous and the paint is applied with broad and fluid strokes.	What is the paint applied with?	with broad and fluid strokes		
		The elderly doctors, caricatured faces which may well have been influenced by Leonardo da Vinci, argue with Christ by quoting from the Scriptures and gesticulating.	Who do the elderly doctors argue with by gesticulating?	with Christ		
		Drer's daring composition does not use the conventional temple setting which he earlier used in the lower left panel of The Seven Sorrows of the Virgin.	What does not use the conventional temple setting which Christ earlier used in the lower left panel of The Seven Sorrows of the Virgin?	Drer's daring composition		
		The theme derives from the Gospel of St Luke (Luke 2,41-52).	What does the theme derive from?	from the Gospel of St Luke		
		Although not present on the original painting, two early copies of the panel have the word ` Romae ' added to the inscription on the bookmark and this suggests that Drer visited Rome late in 1506.	What have the word ` Romae ' added to the inscription on the bookmark?	two early copies of the panel		
		Despite Drer's statement about five days, he based it on a number of careful studies, including one of Christ's gesticulating fingers.	What did Christ base on a number of careful studies despite Drer's statement about five days?	Drer's statement about five days		
		The elderly doctors, caricatured faces which may well have been influenced by Leonardo da Vinci, argue with Christ by quoting from the Scriptures and gesticulating.	Who are caricatured faces which may well have been influenced by Leonardo da Vinci?	the elderly doctors		
		Despite Drer's statement about five days, he based it on a number of careful studies, including one of Christ's gesticulating fingers.	What did Christ base Drer's statement about five days on despite Drer's statement about five days?	on a number of careful studies		
		It may also be significant that the original painting was in Rome's Galleria Barberini until its acquisition by Baron Heinrich von Thyssen-Bornemisza in 1935.	What may also be significant that the original painting was in Rome's Galleria Barberini until its acquisition by Baron Heinrich von Thyssen-Bornemisza in 1935?	this		
		Although not present on the original painting, two early copies of the panel have the word ` Romae ' added to the inscription on the bookmark and this suggests that Drer visited Rome late in 1506.	What do two early copies of the panel have the word ` Romae ' added to?	to the inscription on the bookmark		
		The story recorded in the panel is of Christ's visit to Solomon's Temple in Jerusalem, where he debated with the learned Jewish doctors (or scribes).	What is the story recorded in the panel of?	of Christ's visit to Solomon's Temple in Jerusalem		
		Instead he gives a close-up view of the faces of six doctors crowding round the young Jesus.	What does Christ give a close-up view of?	of the faces of six doctors crowding round the young Jesus		
		Despite Drer's statement about five days, he based it on a number of careful studies, including one of Christ's gesticulating fingers.	Whose statement about five days did Christ base on a number of careful studies despite Drer's statement about five days?	Drer's statement about five days		
		According to the Bible, this was the first occasion on which Christ taught.	What was the first occasion on which Christ taught?	this		
		Christ among the Doctors is not only a smaller panel, but the brushwork is much more spontaneous and the paint is applied with broad and fluid strokes.	What is much more spontaneous?	the brushwork		
		Drer contrasts Christ's youthful hands with the gnarled fingers of the ugly old man with the white cap and a gap-toothed grin	What does Drer contrast?	Christ's youthful hands with the gnarled fingers of the ugly old man with the white cap and a gap-toothed grin		
		Instead he gives a close-up view of the faces of six doctors crowding round the young Jesus.	Who gives a close-up view of the faces of six doctors crowding round the young Jesus?	Christ		
		The elderly doctors, caricatured faces which may well have been influenced by Leonardo da Vinci, argue with Christ by quoting from the Scriptures and gesticulating.	Who do the elderly doctors argue with by quoting from the Scriptures?	with Christ		
		Although not present on the original painting, two early copies of the panel have the word ` Romae ' added to the inscription on the bookmark and this suggests that Drer visited Rome late in 1506.	What do two early copies of the panel have added to the inscription on the bookmark?	the word ` Romae '		
		At the same time as the Feast of the Rose Garlands, Drer was working on the painting of Christ among the Doctors.	What was Drer working on the painting of Christ among the Doctors at?	at the same time as the Feast of the Rose Garlands		
		Drer contrasts Christ's youthful hands with the gnarled fingers of the ugly old man with the white cap and a gap-toothed grin	Who contrasts Christ's youthful hands with the gnarled fingers of the ugly old man with the white cap and a gap-toothed grin?	Drer		
		Despite Drer's statement about five days, he based it on a number of careful studies, including one of Christ's gesticulating fingers.	What did Christ base Drer's statement about five days on a number of careful studies despite?	despite Drer's statement about five days		
		Despite Drer's statement about five days, he based it on a number of careful studies, including one of Christ's gesticulating fingers.	Who based Drer's statement about five days on a number of careful studies despite Drer's statement about five days?	Christ		
40049-cabare15.jpg	Maxime Dethomas (1868-1928), painter and graphic artist, was a friend of Lautrec's and one of his favoured companions on brother-crawls. His painting was strongly influenced by Lautrec, with whom he travelled to Normandy and Holland. Dethomas was tall and chubby but, in spite of his stature, tended to be insecure					
		Maxime Dethomas, painter and graphic artist, was a friend of Lautrec's and one of his favored companions on brother-crawls.	Who was Maxime Dethomas on brother-crawls?	a friend of Lautrec's and one of his favored companions		
		Maxime Dethomas, painter and graphic artist, was a friend of Lautrec's and one of his favored companions on brother-crawls.	Who was Maxime Dethomas a friend of Lautrec's and one of his favored companions on?	on brother-crawls		
		His painting was strongly influenced by Lautrec, with whom he traveled to Normandy and Holland.	What was strongly influenced by Lautrec?	Maxime Dethomas's painting		
		His painting was strongly influenced by Lautrec, with whom he traveled to Normandy and Holland.	Who was Maxime Dethomas's painting strongly influenced by?	by Lautrec		
		His painting was strongly influenced by Lautrec, with whom he traveled to Normandy and Holland.	Whose painting was strongly influenced by Lautrec?	Maxime Dethomas's painting		
		Maxime Dethomas, painter and graphic artist, was a friend of Lautrec's and one of his favored companions on brother-crawls.	Who was Maxime Dethomas?	painter and graphic artist		
		Maxime Dethomas, painter and graphic artist, was a friend of Lautrec's and one of his favored companions on brother-crawls.	Who was painter and graphic artist?	Maxime Dethomas		
		Maxime Dethomas, painter and graphic artist, was a friend of Lautrec's and one of his favored companions on brother-crawls.	Who was a friend of Lautrec's and one of his favored companions on brother-crawls?	Maxime Dethomas		
15246-reading.jpg	G�rard specialized in domestic genre scenes, often depicting an idealized vision of the lives of bourgeois and upper class women. Usually depicted in intimate settings, her subjects enjoy lives of leisure with their families or engage in elegant pastimes. Her meticulous style derived from her study of the works of Dutch 17th-century masters such as Gabriel Metsu and Caspar Netscher					
		Usually depicted in intimate settings, her subjects enjoy lives of leisure with their families or engage in elegant pastimes.	What were depicted in intimate settings?	her subjects		
17950-windmill.jpg	"The tonal style in Dutch landscape painting of the 1630s continued well into the 1640s, while still developing, especially in the hands of Jan van Goyen. The direction in which van Goyen took landscape reveals a considered logic; as tonal painting was a realistic attempt to capture an atmosphere, its consequence was, in the end, to paint the sky over the flat, low land. Thus, in his ""Windmill by a River"", the real subject is the moving skies.Everything is subordinated to the high sky, a sky that seems to take on the colour of the vast land stretching to a low, distant horizon: a brownish-green with tinges of blue. Only the sky contains more grey - the clouds - and is more transparent in its pictorial treatment. Dunes in the foreground, caught in a splash of sunlight, introduce the distance - suggesting a high viewpoint that gives the view naturalness. The windmill, painted in the greyish-brown colour of the sky, is a discreet spatial reference point"					
		Everything is subordinated to the high sky, a sky that seems to take on the color of the vast land stretching to a low, distant horizon: a brownish-green with tinges of blue.	What is the high sky?	a sky that seems to take on the color of the vast land		
		Everything is subordinated to the high sky, a sky that seems to take on the color of the vast land stretching to a low, distant horizon: a brownish-green with tinges of blue.	What is everything subordinated to stretching to a low, distant horizon: a brownish-green with tinges of blue?	to the high sky		
		The windmill, painted in the greyish-brown color of the sky, is a discreet spatial reference point''	What is a discreet spatial reference point?	the windmill		
		Dunes in the foreground, caught in a splash of sunlight, introduce the distance- suggesting a high viewpoint that gives the view naturalness.	What did Dunes in the foreground, catch in?	in a splash of sunlight		
		Thus, in his'' ``Windmill by a River'''', the real subject is the moving skies.	What is the moving skies?	the real subject		
		Only the sky contains more gray- the clouds- and is more transparent in its pictorial treatment.	What does the sky contain more gray-?	the clouds- and is more transparent in its pictorial treatment		
		Everything is subordinated to the high sky, a sky that seems to take on the color of the vast land stretching to a low, distant horizon: a brownish-green with tinges of blue.	What is subordinated to the high sky stretching to a low, distant horizon: a brownish-green with tinges of blue?	everything		
		Everything is subordinated to the high sky, a sky that seems to take on the color of the vast land stretching to a low, distant horizon: a brownish-green with tinges of blue.	What is a sky that seems to take on the color of the vast land?	the high sky		
		Dunes in the foreground, caught in a splash of sunlight, introduce the distance- suggesting a high viewpoint that gives the view naturalness.	Who caught in a splash of sunlight?	Dunes in the foreground,		
		Only the sky contains more gray- the clouds- and is more transparent in its pictorial treatment.	What contains more gray- the clouds- and is more transparent in its pictorial treatment?	the sky		
		The windmill, painted in the greyish-brown color of the sky, is a discreet spatial reference point''	What is the windmill painted in?	in the greyish-brown color of the sky		
		The windmill, painted in the greyish-brown color of the sky, is a discreet spatial reference point''	What is painted in the greyish-brown color of the sky?	the windmill		
		Thus, in his'' ``Windmill by a River'''', the real subject is the moving skies.	What is the real subject?	the moving skies		
40270-srgeorge.jpg	This work may have been a panel from a portable altar that included a St Maurelius with St George, the protector of Ferrara, today in the Museo Poldi Pezzoli in Milan, and an Annunciation from the Colonna collection in Rome					
41099-021pieta.jpg	The Man of Sorrows in the arms of God the Father with the Holy Ghost between them both is a kind of Seat of Mercy or more exactly a Trinity Piet&#224;. The type is met with frequently in French and Burgundian court painting from the end of the fourteenth century onwards. One of the best known and earliest preserved examples is the tondo by Jean Malouel in the Louvre. Both in the common Man of Sorrows type and in the Trinity Piet&#224;, angels are often supporting Christ's body on both sides or carrying instruments of the Passion. The small Cologne work is part of this tradition. The Man of Sorrows is flanked by four angels, with two of them holding the Flagellation column, the scourge, the stick with the sponge and the lance. This type clearly forms the basis of the Man of Sorrows borne by an angel by Master Francke which in turn led to the Virgin showing Man of Sorrows by Memling (Melbourne). The reverse features a Holy Face of Christ.The panel is attributed to the Master of Sankt Laurenz (St Lawrence), the pupil of the Cologne Master of St Veronica. It is also assumed that this small panel was the left wing of a diptych having, on the right, a Mater Dolorosa					
		The Man of Sorrows is flanked by four angels, with two of them holding the Flagellation column, the scourge, the stick with the sponge and the lance.	What is the stick?	the scourge		
		The reverse features a Holy Face of Christ.	Who does the reverse feature a Holy Face of?	of Christ		
		The Man of Sorrows is flanked by four angels, with two of them holding the Flagellation column, the scourge, the stick with the sponge and the lance.	Who is the Man of Sorrows flanked by?	by four angels		
		The panel is attributed to the Master of Sankt Laurenz (St Lawrence), the pupil of the Cologne Master of St Veronica.	What is attributed to the Master of Sankt Laurenz?	the panel		
		One of the best known and earliest preserved examples is the tondo by Jean Malouel in the Louvre.	Who is one of the best known and earliest preserved examples the tondo by?	by Jean Malouel in the Louvre		
		It is also assumed that this small panel was the left wing of a diptych having, on the right, a Mater Dolorosa	What is a Mater Dolorosa?	the right		
		It is also assumed that this small panel was the left wing of a diptych having, on the right, a Mater Dolorosa	What is the panel also assumed?	that this small panel was the left wing of a diptych having		
		The panel is attributed to the Master of Sankt Laurenz (St Lawrence), the pupil of the Cologne Master of St Veronica.	Who is the panel attributed to?	to the Master of Sankt Laurenz		
		The reverse features a Holy Face of Christ.	What does the reverse feature?	a Holy Face of Christ		
		One of the best known and earliest preserved examples is the tondo by Jean Malouel in the Louvre.	What is the tondo by Jean Malouel in the Louvre?	one of the best known and earliest preserved examples		
		Both in the common Man of Sorrows type and in the Trinity Piet &#224;, angels are often supporting Christ's body on both sides or carrying instruments of the Passion.	What is angels?	the Trinity Piet &#224;		
		The small Cologne work is part of this tradition.	What is the small Cologne work part of?	of this tradition		
		The Man of Sorrows is flanked by four angels, with two of them holding the Flagellation column, the scourge, the stick with the sponge and the lance.	Who is flanked by four angels?	the Man of Sorrows		
		The panel is attributed to the Master of Sankt Laurenz (St Lawrence), the pupil of the Cologne Master of St Veronica.	Who is Sankt Laurenz the pupil of the Cologne Master of?	of St Veronica		
		The reverse features a Holy Face of Christ.	What features a Holy Face of Christ?	the reverse		
		The panel is attributed to the Master of Sankt Laurenz (St Lawrence), the pupil of the Cologne Master of St Veronica.	Who is the pupil of the Cologne Master of St Veronica?	Sankt Laurenz		
		One of the best known and earliest preserved examples is the tondo by Jean Malouel in the Louvre.	What is one of the best known and earliest preserved examples by Jean Malouel in the Louvre?	the tondo		
		The Man of Sorrows is flanked by four angels, with two of them holding the Flagellation column, the scourge, the stick with the sponge and the lance.	What is the Flagellation column?	the scourge		
		Both in the common Man of Sorrows type and in the Trinity Piet &#224;, angels are often supporting Christ's body on both sides or carrying instruments of the Passion.	Who is the Trinity Piet &#224;?	angels		
		The Man of Sorrows is flanked by four angels, with two of them holding the Flagellation column, the scourge, the stick with the sponge and the lance.	What is the scourge?	the Flagellation column		
		Both in the common Man of Sorrows type and in the Trinity Piet &#224;, angels are often supporting Christ's body on both sides or carrying instruments of the Passion.	What are often supporting Christ's body on both sides or carrying instruments of the Passion?	both in the common Man of Sorrows type and in the Trinity Piet &#224;		
		The type is met with frequently in French and Burgundian court painting from the end of the fourteenth century onwards.	Who is the type met with?	with frequently in French and Burgundian court painting from the end of the fourteenth century onwards		
		The panel is attributed to the Master of Sankt Laurenz (St Lawrence), the pupil of the Cologne Master of St Veronica.	Who is Sankt Laurenz?	the pupil of the Cologne Master of St Veronica		
		The type is met with frequently in French and Burgundian court painting from the end of the fourteenth century onwards.	What is met with frequently in French and Burgundian court painting from the end of the fourteenth century onwards?	the type		
		It is also assumed that this small panel was the left wing of a diptych having, on the right, a Mater Dolorosa	Who is the right?	a Mater Dolorosa		
		The Man of Sorrows in the arms of God the Father with the Holy Ghost between them both is a kind of Seat of Mercy or more exactly a Trinity Piet &#224;.	Who is a kind of Seat of Mercy or more exactly a Trinity Piet &#224;?	the Man of Sorrows in the arms of God the Father with the Holy Ghost between them both		
		The small Cologne work is part of this tradition.	What is the small Cologne work?	part of this tradition		
		The panel is attributed to the Master of Sankt Laurenz (St Lawrence), the pupil of the Cologne Master of St Veronica.	What is Sankt Laurenz the pupil of of St Veronica?	of the Cologne Master		
		This type clearly forms the basis of the Man of Sorrows borne by an angel by Master Francke which in turn led to the Virgin showing Man of Sorrows by Memling.	What clearly forms the basis of the Man of Sorrows borne by an angel by Master Francke which in turn led to the Virgin showing Man of Sorrows by Memling?	this type		
02961-johnbapt.jpg	Baglione, a colleague and rival of Caravaggio, explored the subject of St John the Baptist in the Wilderness as early as 1600 and he continued to paint images of St John the Baptist throughout his long and productive career.The probable model for the present version could be Caravaggio's St John the Baptist in Kansas City					
		The probable model for the present version could be Caravaggio's St John the Baptist in Kansas City	What could be Caravaggio's St John the Baptist in Kansas City?	the probable model for the present version		
42223-0209vela.jpg	The painting, asssumed by some art historians to be a self-portrait - is unfinished, the hands are only sketched in					
		The painting, asssumed by some art historians to be a self-portrait- is unfinished, the hands are only sketched in	What is asssumed by some art historians?	the painting		
		The painting, asssumed by some art historians to be a self-portrait- is unfinished, the hands are only sketched in	Who is the painting?	asssumed by some art historians		
		The painting, asssumed by some art historians to be a self-portrait- is unfinished, the hands are only sketched in	What is unfinished?	the painting		
05888-villasea.jpg	B�cklin treated this subject several times. This version is an early oil sketch					
		This version is an early oil sketch	What is an early oil sketch?	this version		
36867-pentapt3.jpg	This panel belonged to a now dismembered pentaptych (five-paneled altarpiece). In its original configuration, St Benedict was the left, St Silvester Gozzolini the right and the Madonna and Child the centre panels (all in the Metropolitan Museum of Art, New York). The centre panel was flanked by panels depicting St John the Baptist (Perkins Collection, Sacro Convento di San Francesco, Assisi), and St John the Evangelist (Metropolitan Museum of Art, New York).When intact, the altarpiece would have resembled Duccio's polyptych in the Pinacoteca Nazionale, Siena (the so-called polyptych 47). The pairing of Sts John the Baptist and John the Evangelist - the forerunner of Christ and the beloved disciple - to either side of the Madonna and Child is not uncommon and may relate either to the dedication of the chapel or to the name of the patron. On the other hand, the presence of Sts Benedict (c. 480&#150;543) and Silvester Gozzolini (1177&#150;1267) virtually assures that the altarpiece was painted for a monastery of the Silvestrine order, which was founded by Silvester in 1231 and followed the rule of St Benedict					
		The center panel was flanked by panels depicting St John the Baptist (Perkins Collection, Sacro Convento di San Francesco, Assisi), and St John the Evangelist (Metropolitan Museum of Art, New York).	What was flanked by panels depicting St John the Baptist?	the center panel		
		In its original configuration, St Benedict was the left, St Silvester Gozzolini the right and the Madonna and Child the center panels (all in the Metropolitan Museum of Art, New York).	What was Art?	New York		
		The center panel was flanked by panels depicting St John the Baptist (Perkins Collection, Sacro Convento di San Francesco, Assisi), and St John the Evangelist (Metropolitan Museum of Art, New York).	Who was Sacro Convento di San Francesco?	Perkins Collection		
		In its original configuration, St Benedict was the left, St Silvester Gozzolini the right and the Madonna and Child the center panels (all in the Metropolitan Museum of Art, New York).	What was St Silvester Gozzolini?	the left		
		The center panel was flanked by panels depicting St John the Baptist (Perkins Collection, Sacro Convento di San Francesco, Assisi), and St John the Evangelist (Metropolitan Museum of Art, New York).	Who was Assisi?	Perkins Collection		
		In its original configuration, St Benedict was the left, St Silvester Gozzolini the right and the Madonna and Child the center panels (all in the Metropolitan Museum of Art, New York).	Who was the left?	St Silvester Gozzolini		
		The center panel was flanked by panels depicting St John the Baptist (Perkins Collection, Sacro Convento di San Francesco, Assisi), and St John the Evangelist (Metropolitan Museum of Art, New York).	Who was New York?	Metropolitan Museum of Art		
		This panel belonged to a now dismembered pentaptych (five-paneled altarpiece).	What belonged to a now dismembered pentaptych?	this panel		
		When intact, the altarpiece would have resembled Duccio's polyptych in the Pinacoteca Nazionale, Siena (the so-called polyptych 47).	Whose polyptych in the Pinacoteca Nazionale, Siena would when intact the altarpiece have resembled?	Duccio's polyptych in the Pinacoteca Nazionale, Siena		
		The center panel was flanked by panels depicting St John the Baptist (Perkins Collection, Sacro Convento di San Francesco, Assisi), and St John the Evangelist (Metropolitan Museum of Art, New York).	Who was Perkins Collection?	Assisi		
		In its original configuration, St Benedict was the left, St Silvester Gozzolini the right and the Madonna and Child the center panels (all in the Metropolitan Museum of Art, New York).	What was New York?	Art		
		The center panel was flanked by panels depicting St John the Baptist (Perkins Collection, Sacro Convento di San Francesco, Assisi), and St John the Evangelist (Metropolitan Museum of Art, New York).	What was the center panel flanked by?	by panels depicting St John the Baptist		
		In its original configuration, St Benedict was the left, St Silvester Gozzolini the right and the Madonna and Child the center panels (all in the Metropolitan Museum of Art, New York).	What was St Benedict the left the right and the Madonna and Child the center panels in?	in this panel's original configuration		
		When intact, the altarpiece would have resembled Duccio's polyptych in the Pinacoteca Nazionale, Siena (the so-called polyptych 47).	What would when intact the altarpiece have resembled?	Duccio's polyptych in the Pinacoteca Nazionale, Siena		
		The center panel was flanked by panels depicting St John the Baptist (Perkins Collection, Sacro Convento di San Francesco, Assisi), and St John the Evangelist (Metropolitan Museum of Art, New York).	What was Metropolitan Museum of Art?	New York		
		When intact, the altarpiece would have resembled Duccio's polyptych in the Pinacoteca Nazionale, Siena (the so-called polyptych 47).	What when intact would have resembled Duccio's polyptych in the Pinacoteca Nazionale, Siena?	the altarpiece		
08837-isaac.jpg	Cigoli's picture depicts one of the most dramatic moments in the Old Testament (Genesis 22: 1-14), where the Lord tests Abraham's faith by asking him to sacrifice his only son Isaac. Just as Abraham is about to slit Isaac's throat an angel miraculously appears and points to a ram, tangled in a thicket, that can be sacrificed instead. Cigoli shows the moment at which the angel intervenes, pulling back Abraham's arm as he points to the ram. According to Cigoli's nephew, Giovanni Battista Cardi, the picture was painted while his uncle was working for Cardinal Pompeo Arrigoni in Frascati just outside Rome. Cigoli, a Florentine, is documented in Rome between 1606-07, a date which accords well with the style of The Sacrifice of Isaac. There are several preparatory studies for the painting, one of which is on the verso of a drawing for Massimo Massimi's Ecce Homo of 1607, making it safe to assume that Cigoli was working on both pictures at the same time.Although The Sacrifice of Isaac was painted in Rome, the composition clearly recalls the Florentine tradition of Lorenzo Ghiberti and Andrea del Sarto. Isaac's sensuous nude body, however, reflects the artist's first-hand experience of classical sculpture. Despite the inherent suspense of the narrative, the picture itself lacks dramatic tension. Abraham's massive red tunic serves as a foil for Isaac's unblemished adolescent body, shifting the emphasis to the work's more lascivious characteristics. When the picture was criticised for its sexually evocative content by a visitor to Arrigoni's villa, the cardinal made an eloquent defence of the artist and the painting. The emotions evoked, he said, were the result of Cigoli's excellence as a painter; any stimulation was the fault of the viewer					
		Just as Abraham is about to slit Isaac's throat an angel miraculously appears and points to a ram, tangled in a thicket, that can be sacrificed instead.	Who appears?	an angel miraculously		
		According to Cigoli's nephew, Giovanni Battista Cardi, the picture was painted while his uncle was working for Cardinal Pompeo Arrigoni in Frascati just outside Rome.	Who is Cigoli's nephew?	Giovanni Battista Cardi		
