QUESTION,SENTENCE,LABEL
What was the other panel representing the Virgin of the Annunciation?,"This panel formed part of a diptych, the other panel representing the Virgin of the Annunciation",1
"What lends support to an early date for the painting, perhaps even before 1660?","The marked influence of Simon de Vlieger lends support to an early date for the painting, perhaps even before 1660",1
What is the cracked growth of a branch in which an evergreen ivy grows?,"The nose is the cracked growth of a branch, moss forming the stubble of a beard and intricate branches forming the scrubby hair, in which an evergreen ivy grows.",1
What is located in the lower register of the Pala feriale?,This scene is located in the lower register of the Pala feriale,1
What are Arcimboldo's most famous works representing human faces?,"Arcimboldo's most famous works are the fantasy paintings representing human faces and composed from flowers, fruits, fishes and other objects.",1
What did the artist go on to paint with an eye for realistic effects?,"Though ailing and becoming increasingly blind, the artist went on to paint the village and its local people with an eye for realistic effects",1
How many disciples have thrown three further rays to the ground in prayer?,"Three further rays strike the three disciples, who have thrown themselves to the ground in prayer.",1
What do demons looking like monstrous bats soar through?,"Demons looking like monstrous bats soar through the darkened sky, showering earth with flaming arrows; the last survivors fall under their shots, piling up on top of each other like broken dolls",1
What is like the roles?,"Only the head of the young black boy is a stock image, like the roles he probably performed on stage",1
Who is shielding?,She is shielding and protecting her naked infant.,1
What is carved like a column?,"Christ's torso, carved like a column, is a fine example of the geometrical monumentality that was Bramante's inspiration not only as an architect but also as a painter.",1
What are two works in Vienna certainly have been traced in a number of works?,"Two works in Vienna are certainly his and his curiously effective, if naive, style and smooth egg-shaped heads (probably influenced by wood carving) have been traced in a number of works",1
Who was told that he must propitiate the goddess by sacrificing his daughter to Diana in Roman nomenclature?,"He was told that, because he had killed a stag sacred to Artemis (Diana in Roman nomenclature), he must propitiate the goddess by sacrificing his daughter to her.",1
What depicts a lady and a child by a balustrade accompanied by a man playing a lute?,"This oval panel depicts a lady and a child by a balustrade accompanied by a man playing a lute, with a parrot.",1
Who was now conserved at Palatina Gallery in Florence)?,"(Few years before Raffaello had painted the portraits of Agnolo Doni and his wife, now conserved at Palatina Gallery in Florence).",1
"Who are St Paul, St Stephen, St Anthony Abbott, and three female martyr saints?","The represented saints are St Paul, St Stephen, St Anthony Abbott, and three female martyr saints",1
What does the small size of the painting indicate that it was intended for?,The small size of the painting indicates that it was intended for private devotion,1
What shows the strong influence of Titian?,The scene shows the strong influence of Titian,1
Who had sufficient grounds for concern?,"As so many young Florentines were commercial travelers or apprentices, often at worrisome distances from home, their parents had sufficient grounds for concern.",1
What does the picture show?,The picture shows the wall of the portego (entrance hall) with the scene of The Sacrifice of Iphigenia.,1
What do many of the elements found in the present work recur in?,Many of the elements found in the present work recur in numerous other signed works dated from the second half of the 1630s.,1
Who preferred portraits to landscape paintings?,"The majestic long-horned white oxen of Tuscany were an attractive subject even for an artist like Boldini, who usually preferred portraits to landscape paintings.",1
What does the picture show?,The picture shows the ceiling fresco in the Cappella del Tresoro of the Certosa.,1
Who was the Lay Brothers ' Choir in the Certosa used by?,The Lay Brothers ' Choir in the Certosa was used by the unconsecrated members of the community who provided the physical labor required for housekeeping.,1
"When did Catherine II of Russia, call the Great reigned as Empress of Russia?","Catherine II (Yekaterina Alekseyevna) of Russia, called the Great reigned as Empress of Russia for 34 years, from June 28 1762 until her death.",1
Who believed that they were Mercury and Jupiter come to earth in human form?,"The pagan inhabitants of Lystra in Asia Minor, witnessing the miraculous cure of a cripple by Paul and Barnabas, believed that they were Mercury and Jupiter come to earth in human form.",1
What is probably the model presented by Padovanino in the competition with Longhena and others in 1630 for erecting the Salute?,The temple depicted in it is probably the model presented by Padovanino in the competition with Longhena and others in 1630 for erecting the Salute.,1
What is among West's finest mythological pictures?,"This well-preserved panel is among West's finest mythological pictures, of which he painted no less than 48 eight throughout his career.",1
What is extant other than two ruined detached frescoes depicting the Story of Saint Peter Martyr painted in 1446 with Rossello Jacopo Franchi for the faade of the Bigallo Oratory in Florence?,"However, none of Ventura's recorded works is extant other than two ruined detached frescoes depicting the Story of Saint Peter Martyr painted in 1446 with Rossello Jacopo Franchi for the faade of the Bigallo Oratory in Florence",1
What did the painter achieve by means of a more supple technique?,"He achieved this effect by means of a more supple technique, by using less diverse and less exuberant colors, by letting some of the flowers to overlap and by the subtle play of light and shadow.",1
Who is Filippino's master?,"Filippino still depends upon the teaching of his master, Botticelli, in his use of line, but he adds to it a bolder use of paint in modeling the form of the face and costume",1
Whose mother is without doubt the Virgin?,"His mother is without doubt the Virgin, for she wears her hair loose like an unmarried girl or a queen at her coronation.",1
What were the altarpiece for the church of the Shod Carmelites?,"Valds went back to Crdoba in 1654 for a final two-year stay and began one of his greatest creations, the altarpiece for the church of the Shod Carmelites.",1
What conserved in the native city of the artist?,This one of the numerous paintings conserved in the native city of the artist.,1
What is rare for the artist?,"The scale of this large canvas is rare for the artist, as is the depiction of figures in almost life-size proportions.",1
What are from a predella of an unidentified Luca Signorelli altarpiece?,"This panel and another, The Birth of the Virgin in the same private collection, are from a predella of an unidentified Luca Signorelli altarpiece.",1
Who probably saw the painting in Paul Durand-Ruel's gallery when he arrived in Paris in early 1886?,Vincent van Gogh probably saw the painting in Paul Durand-Ruel's gallery when he arrived in Paris in early 1886,1
Who was Count Stanislas Felix Potocki?,Count Stanislas Felix Potocki was the Grand Marshal of Lithuanis and was appointed Field Marshal Imperial of the Russian Army by Empress Catherine,1
What were silhouetted against the light of the furnace?,"Especially perceptive are the two figures in the background, silhouetted against the light of the furnace.",1
What can the building make out on the right in the painting?,"On the right in the painting, behind the bridge, one can make out the tower of the Oude Kerk.",1
When did Velzquez paint a series of portraits of the courtdwarfs for they?,"During the 1630s and 1640s Velzquez painted a series of portraits of the courtdwarfs, playmates of the royal children, for they interested him as character studies.",1
Who was Albert Lebourg?,Albert Lebourg was a moderately Impressionist landscape painter,1
What is much closer to an Italian model?,This is much closer to an Italian model.,1
What contain scenes of poetic-mythological love stories?,The three white faux-rocaille frames that occupy the spaces between the columns contain scenes of poetic-mythological love stories.,1
What is the composition related to?,"The composition is related to Fger's painting of the same subject entitled Die Andacht, today in the St &#228; dtische Museen, Heilbronn",1
What is the Madonna and Child Enthroned typical of the artist's style with?,"With its firm, dark outlining and cross hatched modeling, the Madonna and Child Enthroned is typical of the artist's style",1
Who turned real landscape motifs into unusual visions full of dynamic movement?,"Philipp Peter Roos (Italian nickname Rosa da Tivoli) spent nearly all his life in Tivoli, famous for its waterfalls, and he turned real landscape motifs into unusual visions full of dynamic movement",1
What is the influence of the older Canaletto strikingly obvious: as tradition demanded in?,"In these early works the influence of the older Canaletto is strikingly obvious: as tradition demanded, the young view-painter at his debut kept his construction compact and strictly observed the laws of perspective.",1
What are on the right while the left is relatively empty?,"The dense group of merrymakers are on the right while the left is relatively empty, dominated by a large fireplace",1
Who is documented between 1392 and 1431?,He is documented between 1392 and 1431.,1
What does the law of symmetry primarily determine the arrangement of?,The law of symmetry primarily determines the arrangement of the scenes.,1
Whose masterpiece is generally considered to be The Prelude?,"His masterpiece is generally considered to be The Prelude, an autobiographical poem of his early years.",1
What comes from the chapel of the Holy Sacrament in St Michael's Cathedral in Brussels?,"``This attractive triptych comes from the chapel of the Holy Sacrament in St Michael's Cathedral in Brussels, where Charles V's collector-general, Jean Micault and his wife Livine Cats van Welle were buried.",1
When are Dirck Hals ' two earliest known interiors?,"The present work joins the Merry Company Making Music as one of Dirck Hals ' two earliest known interiors, both dated 1623.",1
"Who usually include musical instruments, carpets, fruits, and weapons?","Still-lifes by Francesco Maltese usually include musical instruments, carpets, fruits, and weapons.",1
Who is wearing a purplish garment trimmed with fur under which a black doublet with a rising collar is to be seen?,The man is wearing a purplish garment trimmed with fur under which a black doublet with a rising collar is to be seen.,1
"What did the violent contortions and exaggeratedly muscular nudes which typified Cornelis van Haarlem's earlier style, give poses and figure types?","The violent contortions and exaggeratedly muscular nudes which typified his earlier style, gave way in favor of more restful poses and figure types, more akin to classical ideals of proportion and harmony",1
Whose life do pale garments compose the Gospels of?,Their luminous faces and pale garments seem suffused with incandescent light as they compose the Gospels of Christ's life,1
Who appears tied to the strings of a heathen idol?,"Infidelity Infidelitas appears tied to the strings of a heathen idol, which he is carrying in his own hand",1
Who did still spurn by?,"She herself, still spurned by the god, slowly wasted away and turned into the flower that always turns its face toward the sun.",1
What possesses meticulous clarity?,"This painting possesses meticulous clarity and, under the guise of a touching domestic scene, presents a precisely drawn geometrical projection",1
What suggests that it was made for devotion in a private house?,The small size of the work suggests that it was made for devotion in a private house,1
What is the altar painting framed on by two scenes from the life of St Jerome?,The altar painting is framed on either side by two scenes from the life of St Jerome.,1
"Who does behind a splendid, plumed parade helmet face a jauntily angled set of lances?","Behind him a splendid, plumed parade helmet, reflecting the vibrant, pulsating red of a velvet drape, faces a jauntily angled set of lances.",1
What is the Name in?,"Beneath Eternity, facing the viewers, is Splendour of the Name, in the form of a mature, bearded man who holds the club of Hercules in his right hand and a lighted torch in his left",1
What did the fully-fledged animal painting emerge in the late 16th century with?,The fully-fledged animal painting emerged in the late 16th century with the rise of biological research and collections of rare creatures.,1
What are ripeness of the fruit's blemishes and signs of decay that Roepel's still life is not simply a celebration of nature's abundance but a reminder of the transience of life the over ripeness of the fruit?,"The over ripeness of the fruit, their blemishes and signs of decay are indicators that Roepel's still life is not simply a celebration of nature's abundance but a reminder of the transience of life.",1
What is noteworthy?,The crisp treatment of the lilies is noteworthy,1
When did Hans Vredeman de Vries take place?,"Hans Vredeman de Vries, whose sojourn at the court of Prague took place between 1596 and 1598, presented also Rudolf II with architectural designs for the imperial palace.",1
What is a preparatory oil sketch for a large canvas commissioned by the Marchese Niccol &#242; Maria Pallavicini?,This painting is a preparatory oil sketch for a large canvas (now lost) commissioned by the Marchese Niccol &#242; Maria Pallavicini,1
Whose most questionable works is a disconcerting result of Lotto's stay in Rome certainly one of?,"A disconcerting result of Lotto's stay in Rome, this altarpiece is certainly one of the painter's most questionable works.",1
What did Prophet Elijah ascend in a chariot of fire?,"The hermits wear the striated Carmelite habit, modeled after the cloak of Elijah, scorched as he ascended heaven in a chariot of fire, and retrieved by his disciple Elisha",1
What stand out against the walls like stage sets?,"In the central hall, imposing, monumental arcades with projecting trabeation, crowned by tympanums, stand out against the walls like stage sets, framing two episodes from the life of Alexander the Great.",1
What is the fact that the picture is on canvas unusual in?,"The fact that the picture is on canvas is unusual in Liotard's oeuvre, for typically his usual medium was pastel on paper",1
What was executed by Johann Rudolf Byss with the contribution of the quadraturist Giovanni Francesco Marchini?,The ceiling fresco in the stairwell of Weissenstein palace was executed by Johann Rudolf Byss with the contribution of the quadraturist Giovanni Francesco Marchini (active 1702-1736),1
What are the colors?,"The colors, the rhythm of the tower-like figure of Joseph, express perfectly the meaning of the painting.",1
Who was Claude able to study during the journey made the sea's effects to Naples?,"Perhaps the most beautiful of Claude's pictures are those in which he brings in the sea, whose effects he was able to study during the journey he made to Naples.",1
What is considered to be an important bridge between the thirteenth and fourteenth centuries?,This diptych is considered to be an important bridge between the thirteenth and fourteenth centuries,1
What are different?,"Although the datings are different, this painting is probably the companion-piece of The Paradise, also in the Prague museum",1
What is a wide plain in the distance?,"This signed and dated painting depicts two generals looking out over a battle taking place on a slope by a hilltop castle, a wide plain in the distance",1
Who was the theme of the three generations?,"The theme of the three generations, grandmother, mother and child, found favor with the artists of northern Europe, especially in Germany in the 15th and 16th centuries",1
What can be seen at the bottom of the picture shown here the prophets in the embrasure of the entrance?,At the bottom of the picture shown here the prophets in the embrasure of the entrance arch can be seen,1
What did the expressive head exercises of girls and boys by Greuze become one of?,The expressive head exercises of girls and boys by Greuze were quite popular and became one of the painter's specialties.,1
What is Conrad Faber von Creuznach particularly noted for?,Conrad Faber von Creuznach is particularly noted for his 1535 pendant portraits of Gilbrecht von Holzhausen and his wife Anna Ratzeburger.,1
What means fable or story?,"It bears the traditional title ` Fbula ', meaning fable or story",1
What are most parts at?,"Now dismantled, most parts are at either Sankt Florian or Vienna.",1
How many Palladian basilicas are visible in the distance?,"The balloon is artfully framed by the portico of the Dogana di Mare, as the viewer faces the Giudecca canal; two Palladian basilicas are visible in the distance.",1
Who was Herman Langelius?,Herman Langelius was the leading Amsterdam minister,1
Who was painter?,"Salvator Rosa, painter, poet, etcher and musician, was one of the most interesting artists of the Italian Baroque.",1
What was in the Metropolitan Museum of Art?,"Formerly, this panel was in the Metropolitan Museum of Art, New York.",1
What is one of the 47 small panels which belonged to the Polyptych of Isabella the Catholic?,This is one of the 47 small panels which belonged to the Polyptych of Isabella the Catholic,1
What is the left panel of a triptych?,The painting is the left panel of a triptych,1
Who obeys God commandment?,"After the divine revelation in the burning bush at the top left, Moses obeys God commandment and leads the people of Israel in a triumphal procession from slavery in Egypt",1
What is the left-hand terminal depicting the Mourning Virgin also in?,"The left-hand terminal depicting the Mourning Virgin is also in the National Gallery of Art, Washington",1
What are especially striking in the two paintings of the Lamentation over the Dead Christ?,The stylistic changes in Botticelli's late work are especially striking in the two paintings of the Lamentation over the Dead Christ (in Munich and Milan).,1
What are the two Da Porto portraits among the finest creations of the young Veronese with?,"With their sensitive depictions of the children, the two Da Porto portraits are among the finest creations of the young Veronese.",1
What is a symbol of matrimonial harmony?,"On the steps of their opulent house in Antwerp, wearing a gorgeous black dress in Spanish fashion, she is with Frans about to step into a carriage drawn by two horses, a symbol of matrimonial harmony",1
What are all full-length?,The figures are all full-length and wear a draped white robe that some historians describe as antique.,1
What is the center panel of an altarpiece?,This is the center panel of an altarpiece,1
Who was a large-scale work?,"In 1527, Gossart painted his final work on a mythological subject, Dana &#235;, a large-scale work, using sober and elegant architectural motifs as the setting for its subject.",1
What are two works in Vienna certainly have been traced in a number of works?,"Two works in Vienna are certainly his and his curiously effective, if naive, style and smooth egg-shaped heads (probably influenced by wood carving) have been traced in a number of works",1
When did the Master of the Life of the Virgin execute a large altarpiece with eighteen panels illustrating the life of the Virgin commissioned by Doctor Johann Schwartz-Hirtz for the Church of St Ursula in Cologne?,The Master of the Life of the Virgin executed a large altarpiece with eighteen panels illustrating the life of the Virgin commissioned by Doctor Johann Schwartz-Hirtz for the Church of St Ursula in Cologne in 1463.,1
What is the story based on?,The story is based on a Spanish novel translated into Italian in 1606,1
What does the painting depict with two fishermen in a boat below the town ramparts beyond?,"The painting depicts a river landscape with two fishermen in a boat below the town ramparts, ships beyond",1
What does the oeuvre of Marco Palmezzano show with?,The oeuvre of Marco Palmezzano shows that he was familiar with the work of Giovanni Bellini,1
Who is seen as a baby in The painter's family?,The sitter was thirteen in 1785; she is seen as a baby in The painter's family,1
"What did Lautrec's predecessors, however concentrate on prettify themselves?","Unlike his predecessors, however, who usually concentrated on the charms of the women prettify themselves, Lautrec used the subject to express melancholy and loneliness''",1
What did Emanuel de Witte concentrate on?,"Emanuel de Witte concentrated on church interiors, but seems to have been more interested in the artistic effect.",1
What did the workshop of the Strij brothers also produce?,"The workshop of the Strij brothers also produced wall-hangings which are often signed by only one artist, the main contributor, in this case Jacob.",1
Who is the infant?,"``The two'' ``Holy Children ', the infant Jesus and the young St John the Baptist, are represented embracing and kissing on the mouth.",1
Whose mother was also very fond of pearls?,"Lucrezia's mother, the duchess Eleonora was also very fond of pearls.",1
Who alloyed the characteristics of the Flemish and Italian painting?,He alloyed the characteristics of the Flemish and Italian painting,1
What was St Ildefonso?,"Under a separate contract a further painting, St Ildefonso was made.",1
Where did Marlow probably return at the end of 1766?,"Marlow probably returned to England at the end of 1766, and from 1767 regularly exhibited Italian and French subjects at the Society of Artists and Royal Academy in London",1
What signed bottom right: Martino Altomonte \/ Fecit 1719?,It signed bottom right: Martino Altomonte \/ Fecit 1719,1
What softens a little as far as the color is concerned after Mantegna's visit to Venice to meet the Bellinis?,"This severe formal abstraction softens a little as far as the color is concerned after Mantegna's visit to Venice to meet the Bellinis, whose sister Nicolosia the artist had married.",1
What does the painting depict with a mill and figures outside a tavern and other figures on the street with horse-drawn wagons?,The painting depicts a village street with a mill and figures outside a tavern and other figures on the street with horse-drawn wagons,1
"What did Titian paint four large canvases of for Mary of Hungary, Charles V's sister and his regent in the Netherlands?","Titian painted four large canvases of the Damned for Mary of Hungary, Charles V's sister and his regent in the Netherlands.",1
Who is Jan Tengnagel?,"Beside Jan Pynas, Jan Tengnagel is the only other member of the group who is recorded as a traveller to Italy; he was there in 1608.",1
Who was 1859?,"She gave it to the Prince Consort at Christmas, 1859",1
What are in various museums?,Other panels of the dismembered altarpiece are in various museums,1
What is the polyptych signed?,The polyptych is signed lower center: OPUS.,1
Who are bare-headed?,They are bare-headed and wear halos.,1
What is three-quarter length?,"The lady beside a fountain, three-quarter length, is said to be the Marchioness of Montchevreuil",1
What depicts a family of chickens fending off a spaniel in a landscape?,This signed and dated painting depicts a family of chickens fending off a spaniel in a landscape,1
Who then carried the head of Saint John the Baptist to Herodias on a silver charger?,"As a reward he promised her anything she wanted and, prompted by her mother, she chose the head of Saint John the Baptist, which she then carried to Herodias on a silver charger.",1
What once formed a wing of a dismantled altarpiece?,This panel once formed a wing of a dismantled altarpiece,1
What is a masterly example of perspective?,The figure bending in a beautiful scorcio over the celestial globe is a masterly example of perspective.,1
What does the Olivetan order explain?,"The monastery of San Ponziano in the Italian town of Lucca, where the artist worked between 1380 and 1385, belonged to the Olivetan order, which explains the unusual attire of St Benedict.",1
Who is the figure of Courbet?,"In one of the two large fragments preserved in the Muse d'Orsay it is possible to recognize, seated among the guests in a clearing in the forest of Fontainebleau, the figure of Courbet himself.",1
Who also executed pictures tinged with eroticism?,Van Slingeland also executed pictures tinged with eroticism.,1
Who held the position of commander-in-chief of the Papal Army?,"A skilled soldier, he held the position of commander-in-chief of the Papal Army.",1
Who does the the figure depict a lady nursing in a drawing room?,"The the figure in this genre scene, depicting a lady nursing her child in a drawing room, is said to be the wife of the painter Henri-Pierre Danloux.",1
What is part of the decoration in the Petit Trianon?,This painting is part of the decoration in the Petit Trianon,1
What shows an interior with figures smoking?,The painting shows an interior with figures smoking and playing tric trac.,1
What sums up his qualities as a colourist and his expert rendering of light?,"This astonishing portrait of the artist's sister is one of the Danish master's finest works, summing up his qualities as a colourist and his expert rendering of light.",1
What is Pope Pius III similarly crowded with?,"Sodoma's inspiration may well have been the coronation of Pope Pius III, which is similarly crowded with figures.",1
What belongs to a series representing the portraits of the princes of Asturias?,This painting belongs to a series representing the portraits of the princes of Asturias,1
Who was Gabriel-Jules Thomas?,Gabriel-Jules Thomas was a French sculptor,1
What was located just outside the walls of Toledo?,"Located just outside the walls of Toledo, the hospital was founded in 1541 by Cardinal Juan Tavera, who is buried in the church.",1
Who was Andre Le Ntre?,Andre Le Ntre was a French garden designer.,1
What is executed for the Camaldolite hermitage in Frascati?,"This monumental composition, executed for the Camaldolite hermitage in Frascati, includes a number of details that not only enliven the subject, but also transform it into an almost intimate narrative.",1
What do winged putti engage in?,"In each picture the arts of Painting and Music are personified as beautiful young women, surrounded by attributes appropriate to their arts and are doted by winged putti, who engage in playful activities",1
What shows an unidentified man in a gray coat?,"This striking portrait shows an unidentified man, half-length, in a gray coat.",1
What recedes into a high ceilinged?,"The space behind the main figures recedes into a high ceilinged, open plan interior.",1
What is a modello for the large altarpiece which is in the Louvre since 1964?,This painting is a modello (the final study) for the large altarpiece which is in the Louvre since 1964,1
Where is the abundant use of gold in the Transfiguration most appropriate?,"The abundant use of gold in the Transfiguration, giving it an atmosphere of luminous transparency, is most appropriate to this scene.",1
What do the pendants have?,"They are equal in size and have similar color schemes and compositions, and their subjects are complementary; each focuses on richly verdant gardens in which groups of figures have gathered to enjoy games in the outdoors.",1
What are characterized by inferior workmanship?,"The five scenes from The Vision of the Flaming Chariot to St Francis in Ecstasy (No. 8-12) are characterized by inferior workmanship, especially in the figures",1
What was paintings of food laid out on a table popular from?,Paintings of food laid out on a table was popular from the beginning of the 17th century.,1
Who are deliberately homely; they suggest use?,"Yet the objects themselves are deliberately homely; they are possible possessions for anyone and, like Chardin's people, they suggest use.",1
What is a glass half full of wine and a brightly striped earthenware jug?,"Onions, bread, a plate of vegetable pie, a glass half full of wine and a brightly striped earthenware jug are standing on the table.",1
What is none quite so startling- as?,"Of the countless Renaissance paintings of Venus and Cupid, few are as beautiful- and certainly none is quite so startling- as this humorous wedding picture.",1
Whose all paintings of Delft churches is a colonnade aligned diagonally with the picture plane in?,In all his paintings of Delft churches a colonnade is aligned diagonally with the picture plane and the architecture recedes to both sides.,1
"What did e niccol from Nardo di Cione, and an other altarpiece with the present Virgin and Child in the center from the Pisan painter Cecco di Pietro?","Giovanni e Niccol &#242; from Nardo di Cione, and an other altarpiece with the present Virgin and Child in the center from the Pisan painter Cecco di Pietro.",1
What can an erotic dynamism rather than contemplative passivity be observed in?,"Comparing with the engraving, an erotic dynamism rather than contemplative passivity can be observed in the painting",1
What does the altarpiece depict the Resurrection of?,The altarpiece depicts the Resurrection of Christ,1
What is on the west pillar of the entry arch of the Cappella Maggiore in San Francesco?,"This fragment is on the west pillar of the entry arch of the Cappella Maggiore in San Francesco, Arezzo",1
"What is St Ignatius depicted in a state of ecstasy, and functions as a mediator between heaven and earth on?","On the ceiling of the nave St Ignatius is depicted in a state of ecstasy, and functions as a mediator between heaven and earth.",1
What is signed center left: APynacker?,The painting is signed center left: APynacker,1
What shows reminiscences of his journey to Italy?,"This late work of the artist, depicting a landscape near Chesterfield, shows reminiscences of his journey to Italy",1
What is the reclining?,"We see a number of couples, some reclining, some out walking, and a child and a small dog, both at the center of the picture if not immediately visible.",1
What is no moralising tone evident in?,No moralising tone is evident in his depiction of this merry company,1
Who becomes the prototype for the Christ Carrying the Cross?,"The subject of the Espolio is not repeated, but the Christ becomes the prototype for the Christ Carrying the Cross.",1
What is Maria Welzer?,"The inscriptions on this portrait and on its companion-piece, the Portrait of Maria Welzer, ne T &#228; nzel, depicting his wife, identify the two sitters as a young couple of Carinthian descent",1
Who visited Seville where she painted the present canvas in Spain?,In Spain she visited Seville where she painted the present canvas,1
What were such small paintings produced comparatively quickly and in large numbers at?,Such small paintings were produced comparatively quickly and in large numbers at quite modest prices.,1
What is the symbolism of Christ and Christians as shepherd and sheep founded on?,The symbolism of Christ and Christians as shepherd and sheep is founded on the parables of Luke and John.,1
What does the picture show with the painting of Piero del Pollaiuolo?,The picture shows the main altar in the church of Sant ` Agostino in San Gimignano with the painting of Piero del Pollaiuolo,1
"What do the narrow, horizontal form and the fact that the scene is viewed from below suggest?","The narrow, horizontal form and the fact that the scene is viewed from below suggest that this rare representation must have originally formed part of an overdoor decoration in a palace of Venice or its environs.",1
What are the figures?,"This is obvious in the figures, the mountain view in the background and the architecture of the buildings",1
What did Gauguin tackle during all phases of his artistic career?,Gauguin tackled the topic of the self-portrait during all phases of his artistic career.,1
What is a sketch for a much larger work?,"This painting is a sketch for a much larger work, and its thickly applied and large brushstrokes indicate that it was rapidly executed",1
Who shared with James Ensor and other Brussels artists an interest in Neo-Impressionism in the 1880s?,In the 1880s Toorop shared with James Ensor and other Brussels artists an interest in Neo-Impressionism.,1
What was the Entombment?,"Vasari's earliest surviving painting, the Entombment, was ordered by Ippolito de ' Medici.",1
What are considered to be early works by the artist?,"This small bust and its companion-piece Portrait of a Young Woman, which are jointly known as Portraits of a Betrothed Couple, are considered to be early works by the artist",1
"What has a pendant: Peasants Dancing La Furlana, also in a private collection?","The painting has a pendant: Peasants Dancing La Furlana, also in a private collection",1
Who was a primary and influential member of the Barbizon School?,Charles Jacque was a primary and influential member of the Barbizon School.,1
Who sojourned in Italy for several years where he painted coastal scenes along the Sorrento peninsula?,"Beginning in 1832, Fearnley sojourned in Italy for several years where, during the summers of 1833 and 1834, he painted coastal scenes along the Sorrento peninsula",1
Who was a painter of animated urban waterscapes and architectural features?,Carlo Grubacs was a painter of animated urban waterscapes and architectural features,1
Whose intense eyes are looking almost straight at the viewer?,"Her intense eyes are looking almost straight at the viewer, in dramatic lighting.",1
Who was born?,"She was born, during the powerful imperial reign of her maternal grandfather Philip II of Spain, as the fifth child of Charles Emmanuel I, Duke of Savoy and infanta Caterina Micaela of Spain.",1
What mimics the sculpted German tabernacles of the fifteenth century with their Gothic tracery and painted statues?,"In both the Paris and the National Gallery pictures the scene appears to take place within a carved and gilded shrine, mimicking the sculpted German tabernacles of the fifteenth century with their Gothic tracery and painted statues.",1
"What speak of harmony, good education, and modesty?","In most family portraits, poses, gestures, costumes, and attributes speak of harmony, good education, and modesty; the wife and mother in particular would display exemplary virtue.",1
What were stony?,"The historic site in Greece that continued to blossom in the humanist imaginations were stony, the landscapes eroded and bare.",1
What is the scene of freeing Angelica painted in?,The scene of freeing Angelica is based to a large extent on Old Master compositions for Perseus and Andromeda and is painted in a style emulating Raphael 's,1
Who avoids anything that can be related to mundane actions or events in Spain?,"In Spain, he avoids anything that can be related to mundane actions or events, which would detract from the expression of the supernatural.",1
Who were poems?,"The idea of the triumph as an allegory was given literary expression by Dante in describing the pageant of Beatrice (Purgatory, 29), and later by Petrach in his set of poems, the Trionfi.",1
What could have been painted?,The interior could have been painted.,1
What represents St Sebastian dressed in knightly costume?,This panel represents St Sebastian dressed in knightly costume,1
What is an impression of the wild region of the Bode Valley in the Harz mountains?,This picture is an impression of the wild region of the Bode Valley in the Harz mountains.,1
What does the jovial community spirit of Dutch rural life contrast?,He contrasts the elegant formality of the townsfolk to the humble earthiness of the villagers,1
What retains the influence of Willem van de Velde the Younger?,"Although the work is undated, the vessels depicted and the style, which retains the influence of Willem van de Velde the Younger, points to a dating c. 1680",1
What is set against a dark blue-green ground?,The portrait is set against a dark blue-green ground.,1
"What does the mythological story here serve the greater goal of presenting the industry of metalwork, and Antwerp's role as a mercantile hub in particular through?","Through its overflowing detail, the mythological story here serves the greater goal of presenting the industry of metalwork, and Antwerp's role as a mercantile hub in particular.",1
Who did Pater make fourteen Hogarthian illustrations of a burlesque tale by?,"Pater made fourteen Hogarthian illustrations (all in Berlin) of a burlesque tale, Ragotin, by Paul Scarron.",1
What was the choice of subject inspired by?,"The choice of subject was inspired by the arrival in Rome of Titian's bacchanals, Bacchus and Ariadne, and The Andrians and The Worship of Venus.",1
Whose acts do the walls rehearse a series of that had already been depicted in the Cancellaria or in the Palazzo Farnese in Rome?,The walls rehearse a series of the pope's acts that had already been depicted in the Cancellaria or in the Palazzo Farnese in Rome.,1
What does highly polished figures often set in capricious pose Joachim Wtewael's religious and allegorical pieces are characterized by?,"His religious and allegorical pieces are frequently cabinet-size on copper supports and are characterized by masterly drawn, highly polished figures often set in capricious poses.",1
Who did Brouwer become one of?,Returning to Antwerp he became one of the finest valeur painters of all times.,1
Who still does not understand clearly what is going on?,"The plump young farmer's wife stops eating, but looks like she still does not understand clearly what is going on.",1
What is St Francis?,"On the far left stands the founder of the order, St Francis of Assisi.",1
What does everything appear so natural that the spectator will think after first viewing it that the painter's only ambition was to paint what he saw is painted with bright simplicity?,"The subject matter is painted with bright simplicity, everything appears so natural that the spectator will think after first viewing it that the painter's only ambition was to paint what he saw.",1
Who extends an apple to Jesus?,"Mary extends an apple to Jesus, affirming their roles as new Adam and Eve for humanity's salvation",1
What was the signed and dated painting executed in 1344 for?,The signed and dated painting was executed in 1344 for the City Council of Siena,1
Where was Giovanni della Casa at various times between 1541 and 1544?,"This portrait represents Giovanni della Casa, who had the title of Florentine cleric and was in the city at various times between 1541 and 1544.",1
What was originally in the first floor room of the Quinta del Sordo?,This painting (Dos mujeres y un hombre) was originally in the first floor room of the Quinta del Sordo,1
What was Napoleon also seized by?,Napoleon was also seized by the current wave of enthusiasm for the prose epics of the legendary Gaelic poet Ossian.,1
"What represents a still-life with Hercules candlestick lemons and oranges on a sideboard dish, nautilus shell, and other objects arranged on a ledge with a column beyond?","This canvas represents a still-life with Hercules candlestick, silver gilt ewer, lemons and oranges on a sideboard dish, nautilus shell, and other objects arranged on a ledge with a column beyond.",1
